Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
REQ,REQ/USDT,requsdt,1,4,1,0.0,0.1942,1,2,1,1,0.1222,0.0976,0.0905,0.1942,10000.1004,0.0905,0.2129,0.1942,0.2121,0.2121,False,False,1,0.0905,0.0905,0.1222,0.1109
VIDY,VIDY/USDT,vidyusdt,2,6,0,0.00013,0.0,1,0,0,0,0.000222,0.000158,0.00013,0.000166,0.000166,-9999.999804,0.00013,0.000166,0.000121,0.000121,False,False,1,0.0003,0.00013,0.000222,0.000197
LAT,LAT/USDT,latusdt,2,4,2,0.0,0.0,0,1,0,0,0.0253,0.0136,0.0452,0.0525,10000.0168,-9999.9507,0.0452,0.0452,0.0452,0.0452,False,False,0,0.0,0.0136,0.0525,0.0168
POKT,POKT/USDT,poktusdt,2,6,1,0.0,0.28858,1,2,1,0,0.268553,0.205251,0.201009,0.28858,10000.217299,0.201009,0.299999,0.28858,0.704235,0.704235,False,False,1,0.201009,0.201009,0.268553,0.218251
CAW,CAW/USDT,cawusdt,2,12,2,0.0,0.0,2,1,0,0,7.7288e-08,5.5005e-08,2.8001e-08,7.7799e-08,7.7799e-08,2.8001e-08,1.14702e-07,7.7799e-08,1.14702e-07,1.14702e-07,False,True,0,0.0,5.5005e-08,7.7799e-08,6.0676e-08
SPELL,SPELL/USDT,spellusdt,4,6,1,0.0,0.00264,0,1,0,1,0.001819,0.000979,0.002114,0.00264,10000.001523,0.002114,0.003873,0.00264,0.003873,0.003873,False,False,0,0.002114,0.000979,0.00264,0.001443
USDC,USDC/USDT,usdcusdt,4,4,2,0.0,0.0,0,1,0,0,1.0027,1.0002,0.9997,1.15,10001.0003,-9998.9908,0.9997,0.9997,0.9997,0.9997,False,False,0,0.0,1.0002,1.15,1.0013
UIP,UIP/USDT,uipusdt,2,6,2,0.0,0.000401,0,0,0,0,0.00051,0.000259,0.00029,0.000401,10000.000305,-9999.999644,0.000441,0.000401,0.000542,0.000542,False,False,0,0.000421,0.000259,0.000401,0.00034
SPELLFIRE,SPELLFIRE/USDT,spellfireusdt,4,6,1,0.0,0.014998,1,2,1,1,0.0125,0.00542,0.004523,0.014998,10000.006313,0.004523,0.011497,0.014998,0.011497,0.011497,False,False,1,0.004523,0.004523,0.0125,0.006519
RLY,RLY/USDT,rlyusdt,2,4,1,0.141,0.0757,1,2,1,1,0.0699,0.0651,0.0655,0.0757,10000.0668,0.0655,0.0705,0.0757,0.1594,0.1594,False,False,1,0.0655,0.0655,0.0699,0.0663
ORB,ORB/USDT,orbusdt,4,6,1,0.0,0.183717,2,1,1,0,0.108439,0.093283,0.089052,0.102584,0.102584,0.089052,0.089052,0.102584,0.325778,0.325778,True,True,0,0.066117,0.093283,0.102584,0.097731
CEL,CEL/USDT,celusdt,4,4,2,0.0,0.0,1,2,0,0,1.0666,0.5724,0.59,2.35,10000.8432,0.59,2.1145,2.1145,2.1145,2.1145,False,False,1,0.0,0.59,1.0666,0.7577
MOOV,MOOV/USDT,moovusdt,4,6,1,0.0,0.06,0,1,0,0,0.024677,0.007223,0.034068,0.06,10000.0153,0.034068,0.061,0.06,0.061,0.061,False,False,0,0.0,0.007223,0.06,0.014825
SRM,SRM/USDT,srmusdt,4,4,1,0.0,2.0541,2,1,1,2,1.1764,1.0695,0.9753,1.3627,1.3627,0.9753,2.2635,1.3627,2.2635,2.2635,False,True,0,0.9753,1.0695,1.3627,1.0945
DOG,DOG/USDT,dogusdt,4,6,1,0.0,0.004112,1,2,1,1,0.00189,0.001521,0.001526,0.001808,0.001808,0.001526,0.001526,0.001808,0.003676,0.003676,True,True,1,0.001335,0.001526,0.00189,0.001668
AVAX,AVAX/USDT,avaxusdt,4,4,1,0.0,69.4851,0,1,0,1,44.1579,23.4804,55.0199,69.4851,10029.7172,55.0199,73.1149,69.4851,73.1149,73.1149,False,False,0,55.0199,23.4804,69.4851,29.0912
SKM,SKM/USDT,skmusdt,2,6,1,0.001034,0.001214,1,2,1,1,0.00071,0.000457,0.000415,0.001214,10000.000509,0.000415,0.001009,0.001214,0.001476,0.001476,False,False,1,0.000415,0.000415,0.00071,0.000665
JASMY,JASMY/USDT,jasmyusdt,4,6,1,0.022309,0.016849,2,1,1,1,0.01322,0.010863,0.008267,0.016,0.016,0.008267,0.022309,0.016,0.01738,0.01738,False,True,0,0.008267,0.010863,0.016,0.011909
XYO,XYO/USDT,xyousdt,4,6,1,0.0,0.011368,1,2,1,0,0.009772,0.008659,0.008178,0.011368,10000.00929,0.008178,0.008659,0.011368,0.017227,0.017227,False,False,1,0.008178,0.008178,0.009772,0.009586
LMR,LMR/USDT,lmrusdt,4,4,2,0.0388,0.0404,0,1,1,1,0.0383,0.0379,0.0388,0.0458,10000.0383,-9999.9611,0.0388,0.0364,0.1106,0.1106,False,False,0,0.0458,0.0379,0.0458,0.038
ZEC*3,ZEC*3/USDT,zec3lusdt,4,8,0,4.215e-05,0.00024216,2,1,1,1,8.024e-05,6.454e-05,5.099e-05,8.601e-05,8.601e-05,5.099e-05,5.099e-05,8.601e-05,0.00029763,0.00029763,True,True,0,9.187e-05,6.454e-05,8.601e-05,6.7e-05
DASH,DASH/USDT,dashusdt,4,2,1,0.0,85.67,2,1,1,1,61.71,53.36,45.05,63.19,63.19,45.05,79.84,63.19,103.03,103.03,False,True,0,45.05,53.36,63.19,56.84
CVC,CVC/USDT,cvcusdt,2,4,1,0.2538,0.2712,2,1,1,1,0.187,0.171,0.1589,0.1899,0.1899,0.1589,0.1589,0.1899,0.2707,0.2707,True,True,0,0.1072,0.171,0.1899,0.1777
ETH*(-3),ETH*(-3)/USDT,eth3susdt,4,10,2,1.2449e-06,0.0,1,2,0,1,3.4255e-06,2.8217e-06,2.7969e-06,3.5761e-06,3.5761e-06,2.7969e-06,2.7969e-06,3.5761e-06,1.3703e-06,1.3703e-06,True,True,1,1.58e-06,2.7969e-06,3.4255e-06,3.1919e-06
EPIK,EPIK/USDT,epikusdt,4,6,0,0.018689,0.045142,2,1,1,1,0.022826,0.021,0.018689,0.026,0.026,-9999.977277,0.018689,0.021857,0.06415,0.06415,False,False,0,0.026,0.021,0.026,0.021521
ALICE,ALICE/USDT,aliceusdt,4,4,0,2.548,2.9616,2,1,1,1,3.14,2.724,2.548,3.313,3.313,-9996.8687,2.548,2.8943,6.1998,6.1998,False,False,0,3.313,2.724,3.313,2.8842
WAVES,WAVES/USDT,wavesusdt,2,4,1,0.0,13.5749,0,1,0,1,6.3712,5.4917,11.135,13.5749,10005.6741,11.135,11.135,13.5749,19.1387,19.1387,False,False,0,11.8265,5.4917,13.5749,5.6041
MDS,MDS/USDT,mdsusdt,2,6,0,0.000241,0.000295,1,0,1,0,0.000316,0.000241,0.000241,0.000303,0.000303,-9999.999693,0.000241,0.000227,0.00084,0.00084,False,False,1,0.000303,0.000243,0.000316,0.000294
HOT,HOT/USDT,hotusdt,2,6,0,0.00192,0.004092,2,1,1,1,0.002319,0.001974,0.00192,0.002512,0.002512,-9999.997661,0.00192,0.002207,0.00408,0.00408,False,False,0,0.002512,0.001974,0.002512,0.001976
PRIMATE,PRIMATE/USDT,primateusdt,4,4,1,0.0,0.0405,0,1,0,0,0.0403,0.0336,0.0361,0.0405,10000.036,0.0361,0.0361,0.0405,0.1468,0.1468,False,False,0,0.0,0.0336,0.0405,0.0375
H2O,H2O/USDT,h2ousdt,4,6,1,0.511,0.727079,1,2,1,1,0.629661,0.453002,0.3275,0.727079,10000.454554,0.3275,0.535357,0.727079,0.4118,0.4118,False,False,1,0.3275,0.3275,0.629661,0.601017
PVT,PVT/USDT,pvtusdt,2,8,2,4.3e-05,0.0,1,2,0,1,3.198e-05,2.302e-05,2.001e-05,5e-05,10000.00002444,2.001e-05,4.3e-05,5e-05,5e-05,5e-05,False,False,1,5e-05,2.001e-05,3.198e-05,2.8e-05
EKT,EKT/USDT,ektusdt,2,6,1,0.00061,0.000665,0,1,0,1,0.000365,0.000282,0.000525,0.000665,10000.00032,0.000525,0.00061,0.000665,0.000709,0.000709,False,False,0,0.00076,0.000282,0.000665,0.00032
BCH*3,BCH*3/USDT,bch3lusdt,4,8,1,0.001974,0.000351,2,1,1,1,0.000226,0.000183,0.000169,0.000228,0.000228,0.000169,0.000214,0.000228,0.001697,0.001697,False,True,0,0.000169,0.000183,0.000228,0.000199
GAL,GAL/USDT,galusdt,4,4,2,0.0,0.0,0,0,0,0,18.471,1.5,14.667,14.667,10006.1062,-9986.0589,14.667,14.667,14.667,14.667,False,False,1,0.0,1.5,18.471,5.8262
YGG,YGG/USDT,yggusdt,4,4,2,0.0,1.8586,0,1,1,2,0.7625,0.4786,1.6575,2.0953,10000.6605,-9998.1155,1.9491,1.8586,1.9491,1.9491,False,False,0,1.6575,0.4786,2.0953,0.6218
DHT,DHT/USDT,dhtusdt,4,4,1,0.3175,0.44,1,2,1,1,0.443,0.1135,0.1141,0.44,10000.1141,0.1141,0.3,0.44,0.3459,0.3459,False,False,1,0.1141,0.1141,0.443,0.1318
GST,GST/USDT,gstusdt,4,4,2,0.0,0.0,2,1,0,0,3.0637,2.7688,1.9014,3.2151,3.2151,1.9014,4.5899,3.2151,4.5899,4.5899,False,True,0,0.0,2.7688,3.2151,2.9274
NOIA,NOIA/USDT,noiausdt,4,4,0,0.068,0.0748,1,0,1,0,0.0716,0.0684,0.068,0.071,0.071,-9999.9316,0.068,0.071,0.1436,0.1436,False,False,1,0.0669,0.068,0.0716,0.0704
LOKA,LOKA/USDT,lokausdt,4,4,1,0.0,3.48,0,1,0,1,1.6626,0.7824,2.5961,3.48,10001.2517,2.601,2.5961,3.48,2.8765,2.8765,False,False,0,2.2037,0.7824,3.48,1.1706
PAI,PAI/USDT,paiusdt,4,6,1,0.0,0.0024,0,1,0,1,0.001869,0.001112,0.0015,0.0024,10000.001246,0.0015,0.00281,0.0024,0.00281,0.00281,False,False,0,0.0015,0.001112,0.0024,0.001178
USDT,USDT/BRL,usdtbrl,1,3,2,0.0,0.0,0,0,0,0,5.289,4.652,5.058,5.058,10004.924,-9995.044,5.058,5.058,5.058,5.058,False,False,1,0.0,4.851,5.289,4.923
LBP,LBP/USDT,lbpusdt,4,6,2,0.002303,0.003601,0,1,1,1,0.002132,0.002069,0.002303,0.003714,10000.002132,-9999.997332,0.002303,0.002388,0.006594,0.006594,False,False,0,0.003714,0.002069,0.003714,0.002069
UNI*(-2),UNI*(-2)/USDT,uni2susdt,4,6,2,0.710296,0.868893,1,2,0,1,0.855208,0.770094,0.684785,0.935658,10000.753524,0.684785,0.710296,0.868893,0.379172,0.379172,False,False,1,0.935658,0.684785,0.855208,0.781853
TRIBE,TRIBE/USDT,tribeusdt,4,4,1,0.0,0.3864,0,1,0,1,0.2602,0.2423,0.3674,0.3864,10000.2526,0.3674,0.5435,0.3864,0.5435,0.5435,False,False,0,0.3674,0.2423,0.3864,0.2493
CRO,CRO/USDT,crousdt,2,6,1,0.174657,0.204187,2,1,1,1,0.189216,0.182085,0.183137,0.198623,0.198623,0.183137,0.185848,0.198623,0.395542,0.395542,False,True,0,0.183137,0.182085,0.198623,0.186589
SOL,SOL/USDT,solusdt,2,4,1,0.0,74.036,2,1,1,1,54.3647,47.8352,37.5315,59.3056,59.3056,37.5315,96.8091,59.3056,96.8091,96.8091,False,True,0,37.5315,47.8352,59.3056,49.4562
APN,APN/USDT,apnusdt,2,6,2,0.0,0.0029,2,1,1,0,0.00289,0.002541,0.0021,0.004382,0.004382,-9999.9972,0.005117,0.0029,0.007537,0.007537,False,False,0,0.0021,0.002541,0.004382,0.002587
STPT,STPT/USDT,stptusdt,2,6,0,0.042846,0.050411,1,0,1,0,0.053417,0.044452,0.042846,0.049332,0.049332,-9999.951672,0.042846,0.049332,0.083609,0.083609,False,False,1,0.040094,0.042846,0.053417,0.048335
FLOW,FLOW/USDT,flowusdt,4,4,1,0.0,4.5483,0,1,0,1,3.25,2.31,3.2119,4.5483,10002.7767,3.2119,5.4923,4.5483,5.4923,5.4923,False,False,0,3.2119,2.31,4.5483,2.745
AKT,AKT/USDT,aktusdt,4,4,2,0.0,0.0,1,2,0,0,0.482,0.4419,0.4062,0.5103,0.5103,0.4062,0.4062,0.5103,0.7109,0.7109,True,True,1,0.0,0.4062,0.482,0.4485
BABYDOGE,BABYDOGE/USDT,babydogeusdt,2,12,2,0.0,1.69e-09,1,0,1,0,1.9e-09,1.52e-09,7.04e-10,1.69e-09,10000.0000000015,-9999.99999999848,2.605e-09,1.69e-09,2.605e-09,2.605e-09,False,False,1,7.04e-10,7.04e-10,1.9e-09,1.717e-09
NGL,NGL/USDT,nglusdt,4,4,2,0.578,0.5354,1,0,1,1,0.625,0.4571,0.4102,0.5354,10000.4501,-9999.4902,0.578,0.5354,0.7611,0.7611,False,False,1,0.4102,0.4102,0.625,0.479
NPT,NPT/USDT,nptusdt,4,4,1,0.0,7.0,0,1,0,0,3.5796,2.0446,5.044,7.0,10002.705,5.044,5.6715,7.0,5.6715,5.6715,False,False,0,0.0,2.0446,7.0,2.6879
NEW,NEW/USDT,newusdt,4,6,1,0.0,0.000406,1,2,1,0,0.000386,0.000345,0.000334,0.000406,10000.000362,0.000334,0.000343,0.000406,0.000737,0.000737,False,False,1,0.000334,0.000334,0.000386,0.000369
ZBC,ZBC/USDT,zbcusdt,4,6,1,0.0,0.02226,0,1,0,0,0.019922,0.015468,0.020073,0.02226,10000.017616,0.020073,0.043955,0.02226,0.043955,0.043955,False,False,0,0.0263,0.015468,0.02226,0.017211
KAN,KAN/USDT,kanusdt,4,6,1,0.0,0.001676,2,1,1,1,0.001337,0.0013,0.001226,0.001376,0.001376,0.001226,0.001868,0.001376,0.001868,0.001868,False,True,0,0.001226,0.0013,0.001376,0.00131
ANC,ANC/USDT,ancusdt,4,4,1,1.8186,0.2222,0,1,0,1,0.0938,0.0768,0.0998,0.2222,10000.0883,0.0998,0.0998,0.2222,1.9733,1.9733,False,False,0,2.2644,0.0768,0.2222,0.0857
DOGE,DOGE/USDT,dogeusdt,2,6,1,0.0,0.118333,0,1,0,1,0.103791,0.068828,0.099218,0.118333,10000.0846,0.099218,0.135,0.118333,0.135165,0.135165,False,False,0,0.099218,0.068828,0.118333,0.083992
EFI,EFI/USDT,efiusdt,4,4,2,0.1809,0.1948,1,0,1,1,0.2142,0.1898,0.1569,0.1948,10000.1698,-9999.7961,0.1809,0.1948,0.3923,0.3923,False,False,1,0.1569,0.1569,0.2142,0.2085
SNT,SNT/USDT,sntusdt,4,6,0,0.030839,0.042716,1,2,1,1,0.035209,0.031972,0.03145,0.034405,0.034405,0.03145,0.03145,0.034405,0.061918,0.061918,True,True,1,0.037336,0.03145,0.035209,0.033956
HBB,HBB/USDT,hbbusdt,4,4,2,0.9104,1.168,0,2,1,1,0.9326,0.8756,0.8791,1.1335,10000.8898,0.8791,0.9104,1.0186,0.4809,0.4809,False,False,1,1.1335,0.8791,0.9326,0.8777
SYS,SYS/USDT,sysusdt,4,4,2,0.0,0.0,2,1,0,0,0.2398,0.1942,0.1351,0.2433,0.2433,0.1351,0.4337,0.2433,0.4337,0.4337,False,True,0,0.0,0.1942,0.2433,0.1997
ZEN,ZEN/USDT,zenusdt,4,4,1,30.601,22.6417,1,2,1,1,21.3936,18.528,18.2807,22.6417,10019.7908,18.2807,19.8906,22.6417,35.8917,35.8917,False,False,1,18.2807,18.2807,21.3936,19.9908
KT,KT/USDT,ktusdt,4,6,0,0.002201,0.016999,2,1,1,1,0.0078,0.003636,0.002201,0.009472,0.009472,-9999.9955,0.002201,0.0056,0.021333,0.021333,False,False,0,0.009472,0.003636,0.009472,0.0046
SUPER,SUPER/USDT,superusdt,4,4,1,0.0,0.3369,2,1,1,1,0.2069,0.1856,0.183,0.2166,0.2166,0.183,0.183,0.2166,0.6016,0.6016,True,True,0,0.1461,0.1856,0.2166,0.1924
ERN,ERN/USDT,ernusdt,4,4,0,1.6321,3.0442,1,0,1,0,3.1332,2.1686,1.6321,1.9443,1.9443,-9997.7756,1.6321,1.9443,4.4749,4.4749,False,False,1,1.409,1.6321,3.1332,2.2321
EGS,EGS/USDT,egsusdt,4,6,1,0.0,0.033413,2,1,1,0,0.022069,0.015545,0.006605,0.0275,0.0275,0.006605,0.023,0.0275,0.072081,0.072081,False,True,0,0.006605,0.015545,0.0275,0.01669
BIX,BIX/USDT,bixusdt,4,6,2,0.0,0.0,0,0,0,0,0.033368,0.021965,0.039716,0.039716,10000.024625,-9999.960491,0.039716,0.039716,0.039716,0.039716,False,False,0,0.0,0.021965,0.040398,0.023869
DIO,DIO/USDT,diousdt,2,6,2,0.0,0.062309,0,1,1,0,0.058853,0.055607,0.060014,0.087,10000.058696,-9999.9286,0.088953,0.062309,0.088953,0.088953,False,False,0,0.060014,0.055607,0.087,0.057616
EOS*(-3),EOS*(-3)/USDT,eos3susdt,4,8,2,1.498e-05,1.788e-05,1,0,1,1,2.026e-05,1.682e-05,1.681e-05,1.788e-05,10000.00001748,-9999.99998189,1.721e-05,1.788e-05,6.59e-06,6.59e-06,False,False,1,1.681e-05,1.681e-05,2.026e-05,1.869e-05
FTM,FTM/USDT,ftmusdt,4,4,1,0.0,0.8726,1,2,1,1,0.4344,0.294,0.2374,0.8726,10000.3276,0.2374,1.0863,0.8726,1.0863,1.0863,False,False,1,0.2374,0.2374,0.4344,0.3668
SOFI,SOFI/USDT,sofiusdt,4,4,2,0.0,0.0,0,1,0,0,0.1319,0.1116,0.1349,0.3139,10000.1201,-9999.8399,0.1445,0.1445,0.1445,0.1445,False,False,0,0.0,0.1116,0.3139,0.1177
BAND,BAND/USDT,bandusdt,2,4,1,1.6192,1.7787,1,2,1,1,1.8061,1.6199,1.5421,1.812,10001.673,1.5421,1.6192,1.7787,3.5702,3.5702,False,False,1,1.5421,1.5421,1.8061,1.7224
GMPD,GMPD/USDT,gmpdusdt,2,6,1,0.0,0.075261,0,1,0,1,0.05753,0.04975,0.067424,0.075261,10000.05061,0.067424,0.067424,0.075261,0.12,0.12,False,False,0,0.06682,0.04975,0.075261,0.050414
OCEAN,OCEAN/USDT,oceanusdt,4,4,1,0.0,0.4508,0,1,0,2,0.2484,0.1671,0.3786,0.4508,10000.2193,0.3786,0.4723,0.4508,0.4617,0.4617,False,False,0,0.3786,0.1671,0.4508,0.2159
ADP,ADP/USDT,adpusdt,4,6,2,0.0,0.0,1,0,0,0,0.029944,0.023682,0.018358,0.023147,10000.019966,-9999.976038,0.018191,0.018191,0.018191,0.018191,False,False,1,0.0,0.018358,0.029944,0.024954
MKR,MKR/USDT,mkrusdt,6,2,1,0.0,1696.96,1,2,1,1,1766.46,1321.5,954.68,2302.09,2302.09,954.68,954.68,2302.09,1742.84,1742.84,True,True,1,1024.49,954.68,1766.46,1396.12
CHSB,CHSB/USDT,chsbusdt,4,4,2,0.3086,0.3197,0,1,1,1,0.3096,0.3005,0.3086,0.3169,10000.3041,-9999.6831,0.3086,0.31,0.42,0.42,False,False,0,0.3169,0.3005,0.3169,0.3041
TITAN,TITAN/USDT,titanusdt,4,6,1,0.0,3.154573,2,1,1,0,2.628735,2.534069,2.532302,2.883866,2.883866,2.532302,2.987958,2.883866,2.987958,2.987958,False,True,0,2.532302,2.534069,2.883866,2.578
NBS,NBS/USDT,nbsusdt,2,6,2,0.004698,0.0108,0,1,1,1,0.005083,0.004179,0.004698,0.0072,10000.004716,-9999.99494,0.004698,0.005104,0.012575,0.012575,False,False,0,0.0072,0.004179,0.0072,0.004574
SCRT,SCRT/USDT,scrtusdt,4,4,1,0.0,4.5649,1,2,1,0,2.8176,2.0384,1.8289,4.5649,10002.249,1.8289,4.6107,4.5649,4.6107,4.6107,False,False,1,1.8289,1.8289,2.8176,2.3086
ETH*(-1),ETH*(-1)/USDT,eth1susdt,4,4,0,0.2447,0.0,2,1,0,1,0.3551,0.3357,0.3215,0.3627,0.3627,0.3215,0.3215,0.3627,0.2521,0.2521,True,True,0,0.3843,0.3357,0.3627,0.3488
VISION,VISION/USDT,visionusdt,4,6,0,0.008059,0.029508,2,1,1,1,0.013852,0.012239,0.008059,0.03041,0.03041,-9999.983759,0.008059,0.01277,0.073762,0.073762,False,False,0,0.03041,0.012239,0.03041,0.012567
SPA,SPA/USDT,spausdt,2,6,1,0.0,0.176945,2,1,1,0,0.055799,0.05,0.049772,0.066858,0.066858,0.049772,0.150309,0.066858,0.150309,0.150309,False,True,0,0.049772,0.05,0.066858,0.051909
MLN,MLN/USDT,mlnusdt,4,4,0,25.9411,48.3521,2,1,1,1,29.9234,29.3853,29.161,33.0003,33.0003,29.161,29.161,33.0003,54.2097,54.2097,True,True,0,74.9783,29.3853,33.0003,29.3853
MASS,MASS/USDT,massusdt,2,4,0,0.0105,0.0432,1,0,1,0,0.0225,0.0169,0.0105,0.0146,0.0146,-9999.981,0.0105,0.0146,0.0418,0.0418,False,False,1,0.0086,0.0105,0.0225,0.0195
XEM,XEM/USDT,xemusdt,4,4,1,0.051,0.0558,0,1,0,1,0.0557,0.0524,0.0531,0.0558,10000.0536,0.0531,0.0531,0.0558,0.0944,0.0944,False,False,0,0.07,0.0524,0.0558,0.053
RIFI,RIFI/USDT,rifiusdt,4,4,2,0.0,0.0389,1,2,1,1,0.0349,0.0251,0.0228,0.04,0.04,0.024,0.0228,0.0389,0.0427,0.0427,True,False,1,0.0247,0.024,0.0349,0.0276
VRA,VRA/USDT,vrausdt,4,6,1,0.0,0.011522,1,2,1,0,0.010497,0.00644,0.005241,0.011522,10000.007625,0.005241,0.019283,0.011522,0.019283,0.019283,False,False,1,0.005241,0.005241,0.010497,0.007999
UNI*2,UNI*2/USDT,uni2lusdt,4,6,0,0.0618,0.08,1,2,1,1,0.0738,0.0722,0.066963,0.080225,0.080225,0.066963,0.066963,0.065002,0.2815,0.2815,True,False,1,0.080225,0.066963,0.0738,0.0735
STRM,STRM/USDT,strmusdt,4,4,2,0.0,0.1346,1,0,1,0,0.2549,0.2039,0.0798,0.1346,10000.0879,-9999.773,0.108,0.1346,0.2235,0.2235,False,False,1,0.0798,0.0798,0.2549,0.2286
RADAR,RADAR/USDT,radarusdt,4,6,2,0.0,0.015245,0,0,1,1,0.011521,0.006,0.012265,0.013691,10000.010799,-9999.986284,0.018048,0.013691,0.018048,0.018048,False,False,0,0.012265,0.006,0.013691,0.009545
WILD,WILD/USDT,wildusdt,4,4,1,0.0,0.4303,1,2,1,1,0.344,0.3316,0.3227,0.3761,0.3761,0.3227,0.3227,0.3761,1.13,1.13,True,True,1,0.3105,0.3227,0.344,0.3429
WND,WND/USDT,wndusdt,4,4,1,0.4701,0.2332,0,1,0,1,0.2249,0.2102,0.2113,0.2332,10000.2126,0.2113,0.4701,0.2332,0.436,0.436,False,False,0,0.2113,0.2102,0.2332,0.2112
ELA,ELA/USDT,elausdt,2,4,0,1.7291,0.0,1,2,0,1,1.9209,1.8511,1.846,2.1548,2.1548,1.846,1.846,2.02,2.7127,2.7127,True,False,1,2.1548,1.846,1.9209,1.914
ETH,ETH/USDT,ethusdt,4,2,1,0.0,2966.56,2,1,1,1,2058.0,1922.94,1903.18,2064.27,2064.27,1903.18,1903.18,2064.27,2911.7,2911.7,True,True,0,1788.0,1922.94,2064.27,1970.43
DAO,DAO/USDT,daousdt,4,4,1,0.0,2.1917,0,1,0,1,1.8224,1.5,1.7798,2.1917,10001.7811,1.7798,1.7798,2.1917,2.6507,2.6507,False,False,0,1.6,1.5,2.1917,1.7384
SUN,SUN/USDT,sunusdt,2,6,1,0.012258,0.009035,2,1,1,1,0.008994,0.008507,0.008424,0.009078,0.009078,0.008424,0.008553,0.009078,0.013713,0.013713,False,True,0,0.008424,0.008507,0.009078,0.008698
FX,FX/USDT,fxusdt,4,4,1,0.0,0.4107,0,1,0,1,0.3394,0.1881,0.3964,0.4107,10000.2735,0.3964,0.4968,0.4107,0.4916,0.4916,False,False,0,0.3964,0.1881,0.4107,0.2657
